[2025-09-29 06:26:50] Starting CBNE base run
[2025-09-29 06:26:50] Graph: /Volumes/PData/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/sample_graphs/quantinuum/Graph-1.graphml
[2025-09-29 06:26:50] Spectral gap: 0.5
[2025-09-29 06:26:50] Dimension (k): 1
[2025-09-29 06:26:50] One norm: 1.3333333333333333
[2025-09-29 06:26:50] Walk length (z): 6
[2025-09-29 06:26:50] Planned samples: 28561
[2025-09-29 06:26:50] Seed set to 234
[2025-09-29 06:26:52] Iteration 2856/28561 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-29 06:26:54] Iteration 5712/28561 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:26:56] Iteration 8568/28561 | progress 30.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0006s | iter_time=0.0007s
[2025-09-29 06:26:58] Iteration 11424/28561 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:27:00] Iteration 14280/28561 | progress 50.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0007s | iter_time=0.0008s
[2025-09-29 06:27:02] Iteration 17136/28561 | progress 60.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0006s | iter_time=0.0007s
[2025-09-29 06:27:04] Iteration 19992/28561 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:27:06] Iteration 22848/28561 | progress 80.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0006s | iter_time=0.0007s
[2025-09-29 06:27:09] Iteration 25704/28561 | progress 90.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:27:11] Iteration 28560/28561 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-29 06:27:11] Iteration 28561/28561 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0006s | iter_time=0.0006s
[2025-09-29 06:27:11] Completed run in 20.7692 seconds, estimate=0.44813898911235894
